Date,Earner ID,Earner Name,From User ID,Level,Amount (Tokens),Product ID
"3/1/2026","69d4a8ed97d64f202a8951f8","SURESHKUMAR HIRALAL PATEL","69d4a8ed97d64f202a895252","2","21.69","69d4a7d897d64f202a893385"
"3/1/2026","69d4a8ed97d64f202a8951ff","KANTIBHAI R PRAJAPATI ","69d4a8ed97d64f202a895252","1","43.37","69d4a7d897d64f202a893385"
"3/1/2026","69d4a8ed97d64f202a8951f6","Dev Manish Shah","69d4a8ed97d64f202a895252","4","11.57","69d4a7d897d64f202a893385"
"3/1/2026","69d4a8ed97d64f202a8951f7","NIRMALABEN SURESHBHAI PATEL","69d4a8ed97d64f202a895252","3","14.46","69d4a7d897d64f202a893385"
"3/8/2026","69d4a8ed97d64f202a895252","Prajapati Lalchand ","69d4a8ed97d64f202a89545b","1","43.37","69d4a7d897d64f202a893386"
"3/8/2026","69d4a8ed97d64f202a8951ff","KANTIBHAI R PRAJAPATI ","69d4a8ed97d64f202a89545b","2","21.69","69d4a7d897d64f202a893386"
"3/8/2026","69d4a8ed97d64f202a8951f8","SURESHKUMAR HIRALAL PATEL","69d4a8ed97d64f202a89545b","3","14.46","69d4a7d897d64f202a893386"
"3/8/2026","69d4a8ed97d64f202a8951f7","NIRMALABEN SURESHBHAI PATEL","69d4a8ed97d64f202a89545b","4","11.57","69d4a7d897d64f202a893386"
"3/8/2026","69d4a8ed97d64f202a8951f6","Dev Manish Shah","69d4a8ed97d64f202a89545b","5","7.23","69d4a7d897d64f202a893386"
"3/11/2026","69d4a8ed97d64f202a8951ff","KANTIBHAI R PRAJAPATI ","69d4a8ed97d64f202a895252","1","1691.57","69d4a7d897d64f202a893388"
"3/11/2026","69d4a8ed97d64f202a8951f8","SURESHKUMAR HIRALAL PATEL","69d4a8ed97d64f202a895252","2","845.78","69d4a7d897d64f202a893388"
"3/11/2026","69d4a8ed97d64f202a8951f7","NIRMALABEN SURESHBHAI PATEL","69d4a8ed97d64f202a895252","3","563.86","69d4a7d897d64f202a893388"
"3/11/2026","69d4a8ed97d64f202a8951f6","Dev Manish Shah","69d4a8ed97d64f202a895252","4","451.08","69d4a7d897d64f202a893388"
"3/14/2026","69d4a8ed97d64f202a8951fa","GEETA MANISH SHAH","69d4a8ed97d64f202a895468","1","1734.94","69d4a7d897d64f202a893389"
"3/15/2026","69d4a8ed97d64f202a8951f8","SURESHKUMAR HIRALAL PATEL","69d4a8ed97d64f202a895385","4","11.57","69d4a7d897d64f202a89338a"
"3/15/2026","69d4a8ed97d64f202a8951f6","Dev Manish Shah","69d4a8ed97d64f202a895385","6","7.23","69d4a7d897d64f202a89338a"
"3/15/2026","69d4a8ed97d64f202a8951f7","NIRMALABEN SURESHBHAI PATEL","69d4a8ed97d64f202a895385","5","7.23","69d4a7d897d64f202a89338a"
"3/15/2026","69d4a8ed97d64f202a8951fb","DILIPKUMAR DAHYABHAI GANDHI","69d4a8ed97d64f202a895385","3","14.46","69d4a7d897d64f202a89338a"
"3/15/2026","69d4a8ed97d64f202a895203","JIMY MAHESHBHAI VAIDYA","69d4a8ed97d64f202a895385","2","21.69","69d4a7d897d64f202a89338a"
"3/15/2026","69d4a8ed97d64f202a895283","JAYANTILAL MANILAL PRAJAPAT","69d4a8ed97d64f202a895385","1","43.37","69d4a7d897d64f202a89338a"
"3/18/2026","69d4a8ed97d64f202a895326","NITI VIKAS SHAH","69d4a8ed97d64f202a89546a","1","43.37","69d4a7d897d64f202a89338c"
"3/18/2026","69d4a8ed97d64f202a8951f6","Dev Manish Shah","69d4a8ed97d64f202a89546a","2","21.69","69d4a7d897d64f202a89338c"
"3/19/2026","69d4a8ed97d64f202a8953dc","BHATT HETALBEN VIRALKUMAR","69d4a8ed97d64f202a89546c","1","1734.94","69d4a7d897d64f202a89338d"
"3/19/2026","69d4a8ed97d64f202a8953b3","BHATT VIRALKUMAR HARAVDANBHAI","69d4a8ed97d64f202a89546c","2","867.47","69d4a7d897d64f202a89338d"
"3/19/2026","69d4a8ed97d64f202a8953b1","Diwan Aiyubsha Rahimsha","69d4a8ed97d64f202a89546c","3","578.31","69d4a7d897d64f202a89338d"
"3/19/2026","69d4a8ed97d64f202a8951f8","SURESHKUMAR HIRALAL PATEL","69d4a8ed97d64f202a89546c","4","462.65","69d4a7d897d64f202a89338d"
"3/19/2026","69d4a8ed97d64f202a8951f7","NIRMALABEN SURESHBHAI PATEL","69d4a8ed97d64f202a89546c","5","289.16","69d4a7d897d64f202a89338d"
"3/19/2026","69d4a8ed97d64f202a8951f6","Dev Manish Shah","69d4a8ed97d64f202a89546c","6","289.16","69d4a7d897d64f202a89338d"
"3/21/2026","69d4a8ed97d64f202a8951fe","HEMANGINIBEN DILIPBHAI GANDHI","69d4a8ed97d64f202a89546b","4","462.65","69d4a7d897d64f202a89338e"
"3/21/2026","69d4a8ed97d64f202a8951f6","Dev Manish Shah","69d4a8ed97d64f202a89546b","8","173.49","69d4a7d897d64f202a89338e"
"3/21/2026","69d4a8ed97d64f202a8951f7","NIRMALABEN SURESHBHAI PATEL","69d4a8ed97d64f202a89546b","7","173.49","69d4a7d897d64f202a89338e"
"3/21/2026","69d4a8ed97d64f202a8951f8","SURESHKUMAR HIRALAL PATEL","69d4a8ed97d64f202a89546b","6","289.16","69d4a7d897d64f202a89338e"
"3/21/2026","69d4a8ed97d64f202a8951fb","DILIPKUMAR DAHYABHAI GANDHI","69d4a8ed97d64f202a89546b","5","289.16","69d4a7d897d64f202a89338e"
"3/21/2026","69d4a8ed97d64f202a8953c2","Vyas Urmilaben Rashiklal","69d4a8ed97d64f202a89546b","1","1734.94","69d4a7d897d64f202a89338e"
"3/21/2026","69d4a8ed97d64f202a89538f","MEHTA NEHALKUMAR SHARADKUMAR","69d4a8ed97d64f202a89546b","2","867.47","69d4a7d897d64f202a89338e"
"3/21/2026","69d4a8ed97d64f202a895287","GANDHI AXTA DILIPKUMAR","69d4a8ed97d64f202a89546b","3","578.31","69d4a7d897d64f202a89338e"
